MasterID	Mag	Magerr	RA	Dec	MJD	Blend
1.10707E+12	16.97	0.08	192.62124	6.60292	55719.23889	0
1.10707E+12	16.92	0.08	192.62117	6.60275	55719.24854	0
1.10707E+12	16.97	0.08	192.62117	6.60269	55719.25812	0
1.10707E+12	16.94	0.08	192.6211	6.60271	55624.42922	0
1.10707E+12	17.03	0.08	192.6211	6.60298	55624.43745	0
1.10707E+12	17.05	0.08	192.62113	6.60298	55624.44576	0
1.10707E+12	16.9	0.08	192.62118	6.603	55624.45409	0
1.10707E+12	17.02	0.08	192.62112	6.60298	55631.37243	0
1.10707E+12	16.99	0.08	192.62113	6.60296	55631.38075	0
1.10707E+12	16.98	0.08	192.62116	6.60293	55631.38911	0
1.10707E+12	16.96	0.08	192.62118	6.60296	55631.39749	0
1.10707E+12	16.81	0.08	192.62113	6.60264	55644.27427	0
1.10707E+12	16.93	0.08	192.62115	6.60299	55644.28087	0
1.10707E+12	16.96	0.08	192.62106	6.60295	55644.28749	0
1.10707E+12	16.97	0.08	192.6211	6.60294	55644.29413	0
1.10707E+12	16.93	0.07	192.62112	6.60291	55648.26921	0
1.10707E+12	16.99	0.07	192.62106	6.60289	55648.27845	0
1.10707E+12	16.96	0.07	192.62116	6.60294	55648.28764	0
1.10707E+12	16.96	0.07	192.62109	6.60289	55648.29685	0
1.10707E+12	16.98	0.08	192.62112	6.60279	55705.18342	0
1.10707E+12	17	0.08	192.6212	6.60291	55705.19501	0
1.10707E+12	17.04	0.08	192.62117	6.60294	55705.2067	0
1.10707E+12	16.9	0.08	192.62123	6.6029	55705.21836	0
1.10707E+12	16.92	0.08	192.62113	6.60303	55892.51167	0
1.10707E+12	16.88	0.08	192.62102	6.60266	55892.51625	0
1.10707E+12	16.88	0.08	192.62107	6.60263	55892.52094	0
1.10707E+12	16.82	0.08	192.6212	6.60247	55892.52561	0
1.10707E+12	16.88	0.08	192.62135	6.60249	55920.45236	0
1.10707E+12	17.01	0.08	192.62131	6.60293	55920.46153	0
1.10707E+12	16.88	0.08	192.62118	6.60292	55920.4708	0
1.10707E+12	17.01	0.08	192.62128	6.6029	55920.48002	0
1.10707E+12	16.99	0.08	192.6212	6.60291	55930.43651	0
1.10707E+12	16.92	0.08	192.62126	6.60266	55930.44448	0
1.10707E+12	17.01	0.08	192.62118	6.60291	55930.45252	0
1.10707E+12	16.89	0.08	192.62119	6.60288	55930.46062	0
1.10707E+12	16.9	0.08	192.62119	6.60258	55975.47311	0
1.10707E+12	16.97	0.08	192.62123	6.60295	55975.48042	0
1.10707E+12	16.98	0.08	192.62128	6.603	55975.48774	0
1.10707E+12	16.97	0.08	192.62117	6.6029	55975.49505	0
1.10707E+12	17.01	0.08	192.62121	6.60292	55982.4375	0
1.10707E+12	17.03	0.08	192.62125	6.6029	55982.44315	0
1.10707E+12	17.05	0.08	192.62127	6.60291	55982.44886	0
1.10707E+12	16.8	0.08	192.62115	6.60257	55982.45453	0
1.10707E+12	17.03	0.08	192.62123	6.60302	55988.33792	0
1.10707E+12	17.02	0.08	192.62128	6.60292	55988.34357	0
1.10707E+12	16.92	0.08	192.62122	6.60298	55988.34929	0
1.10707E+12	16.94	0.08	192.62124	6.60285	55988.35499	0
1.10707E+12	17.06	0.08	192.62119	6.60293	55999.38421	0
1.10707E+12	16.93	0.08	192.62123	6.60284	55999.39004	0
1.10707E+12	16.95	0.08	192.62121	6.60288	55999.39585	0
1.10707E+12	16.86	0.08	192.62111	6.60302	55999.40171	0
1.10707E+12	16.99	0.08	192.62122	6.60289	56007.28473	0
1.10707E+12	16.98	0.08	192.62128	6.60289	56007.29503	0
1.10707E+12	17.01	0.08	192.62116	6.60295	56007.30538	0
1.10707E+12	17.01	0.08	192.62118	6.60286	56007.31568	0
1.10707E+12	17.06	0.08	192.62123	6.60293	56029.24478	0
1.10707E+12	16.96	0.08	192.62123	6.60297	56029.24979	0
1.10707E+12	16.98	0.08	192.6212	6.60296	56029.25487	0
1.10707E+12	16.98	0.08	192.6212	6.6026	56029.25991	0
1.10707E+12	17.09	0.09	192.62125	6.60291	56035.33122	0
1.10707E+12	17.02	0.08	192.62122	6.60295	56035.33687	0
1.10707E+12	17.03	0.08	192.6212	6.60293	56035.3425	0
1.10707E+12	16.91	0.08	192.62117	6.60291	56035.34812	0
1.10707E+12	17.03	0.09	192.62141	6.60293	56264.49132	0
1.10707E+12	16.92	0.08	192.62119	6.60287	56264.49982	0
1.10707E+12	17.12	0.09	192.62132	6.60285	56264.5083	0
