# TIME                 APTFLUX     APTFLUX_ERR   DETFLUX      DETFLUX_ERR    CENT_ROW        CENT_COL       
  2147.0654311627877   1573.9594   5.6390433     0.9727823    0.0034088902   0.42731336      -0.21474358    
  2147.0858632605596   1569.8737   5.637928      0.9704308    0.003399977    0.42699882      -0.20537268    
  2147.106295357873    1574.8972   5.638379      0.9733374    0.0034104334   0.4261901       -0.21525224    
  2147.126727455179    1599.3824   5.6397285     0.98849005   0.0034643551   0.43722978      -0.22624318    
  2147.1471595515613   1589.4617   5.6392207     0.9825852    0.0034433503   0.47953644      -0.24445817    
  2147.1675917474786   1572.0734   5.638138      0.97176605   0.003404782    0.4875947       -0.25092754    
  2147.1880237429286   1574.2762   5.6385117     0.9733178    0.0034104448   0.48495594      -0.24032484    
  2147.208455838372    1580.6495   5.6390615     0.9774084    0.003425112    0.4977282       -0.24337412    
  2147.2288880328924   1586.6088   5.6394095     0.9813255    0.003439051    0.50577414      -0.23901856    
  2147.249320126939    1583.6906   5.640564      0.97925335   0.0034324918   0.52654004      -0.2663411     
  2147.2697521205264   1596.0032   5.639142      0.9873494    0.0034599977   0.560648        -0.2698552     
  2147.290184313184    1596.7612   5.639928      0.9874557    0.0034608524   0.60015386      -0.2882562     
  2147.3106164058336   1615.9022   5.6409845     0.9989096    0.003501652    0.6335134       -0.30783445    
  2147.331048398024    1608.3452   5.6411037     0.99394315   0.003484316    0.6716241       -0.31910032    
  2147.3514805897503   1616.63     5.6407237     0.99874157   0.0035009012   0.7004891       -0.33454478    
  2147.371912581002    1629.9529   5.6415935     1.0068663    0.0035299251   0.72216254      -0.3448309     
  2147.3923446713306   1624.1675   5.641208      1.0032941    0.0035171611   0.75223047      -0.35895374    
  2147.41277686166     1614.1376   5.640673      0.99708426   0.0034950606   0.75799835      -0.36705613    
  2147.4332088510564   1599.3691   5.640671      0.98792386   0.0034629493   0.7819329       -0.3779852     
  2147.494505117371    1563.924    5.6386395     0.9736077    0.003411538    -0.11415617     0.122373186    
  2147.5149372049054   1553.3892   5.638138      0.96533036   0.0033822332   -0.098104626    0.10937072     
  2147.535369391975    1567.2472   5.6383104     0.9731953    0.0034098942   -0.077273495    0.09494129     
  2147.5558013785776   1565.011    5.6381683     0.971912     0.0034053118   -0.07653591     0.099806264    
  2147.5762334651736   1558.9363   5.6382446     0.96821576   0.003392407    -0.054245017    0.07749307     
  2147.5966656508463   1553.0206   5.6380095     0.9646477    0.0033797645   -0.054660775    0.0838313      
  2147.6170977360453   1537.1584   5.637394      0.9548163    0.0033449538   -0.045423537    0.07421603     
  2147.637529720785    1541.5261   5.6380167     0.9573464    0.0033541876   -0.046460845    0.06550424     
  2147.657961905061    1549.4207   5.63856       0.9625228    0.0033726487   0.009616271     0.040859465    
  2147.678393988863    1537.5039   5.6382537     0.9547424    0.0033452048   0.0150367245    0.028434798    
  2147.6988260722064   1554.0994   5.638146      0.9657056    0.003383553    0.051487327     0.024573259    
  2147.7192581550844   1536.449    5.63751       0.9543248    0.0033433007   0.05190611      0.013984666    
  2147.7396902370238   1557.2694   5.6384835     0.9662381    0.0033856211   0.07080512      -0.022240432   
  2147.760122418971    1551.4376   5.638632      0.9631092    0.0033747465   0.06822967      -0.008375593   
  2147.7805544004514   1546.8025   5.6379247     0.9602954    0.0033644647   0.07150042      -0.008515242   
  2147.8009864814594   1559.06     5.6383057     0.96802056   0.00339176     0.081765555     -0.0114894975  
  2147.821418661544    1578.77     5.6397047     0.9795875    0.0034331398   0.09407085      -0.027559154   
  2147.8418506416274   1580.8158   5.63957       0.9809974    0.003437999    0.096644714     -0.023638932   
  2147.862282720773    1581.226    5.6398954     0.98096335   0.0034380779   0.10377764      -0.029679416   
  2147.882714899926    1587.2969   5.6398263     0.9844466    0.003450244    0.12173746      -0.03388288    
  2147.903146878147    1587.3167   5.6403418     0.98427594   0.003449961    0.1184141       -0.039046824   
  2147.923578956361    1573.7452   5.639724      0.97516745   0.0034176607   0.1329673       -0.053514455   
  2147.9440111336517   1613.8641   5.641805      0.9990566    0.003502677    0.15255344      -0.07789166    
