MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1121045008618,15.45,0.06,133.70358,20.10846,54170.18088,0
1121045008618,15.46,0.06,133.70363,20.10851,54170.18571,0
1121045008618,14.95,0.06,133.70359,20.10851,54185.12025,0
1121045008618,14.96,0.06,133.70361,20.10852,54185.12997,0
1121045008618,14.97,0.06,133.70362,20.10851,54185.13968,0
1121045008618,14.95,0.06,133.70362,20.10853,54185.14940,0
1121045008618,14.31,0.05,133.70362,20.10849,54231.15766,0
1121045008618,14.29,0.05,133.70360,20.10853,54231.16411,0
1121045008618,14.30,0.05,133.70363,20.10852,54231.17051,0
1121045008618,14.31,0.05,133.70362,20.10851,54231.17694,0
1121045008618,14.46,0.06,133.70362,20.10850,54241.14479,0
1121045008618,14.47,0.06,133.70363,20.10852,54241.15349,0
1121045008618,14.47,0.06,133.70363,20.10851,54241.16215,0
1121045008618,14.46,0.06,133.70363,20.10854,54241.17082,0
1121045008618,13.73,0.05,133.70361,20.10850,54410.44799,0
1121045008618,13.77,0.05,133.70362,20.10851,54410.45285,0
1121045008618,13.77,0.05,133.70361,20.10849,54410.45770,0
1121045008618,13.79,0.05,133.70360,20.10850,54410.46258,0
1121045008618,14.19,0.05,133.70362,20.10850,54421.37867,0
1121045008618,14.18,0.05,133.70362,20.10850,54421.39494,0
1121045008618,14.17,0.05,133.70362,20.10850,54421.40307,0
1121045008618,14.00,0.05,133.70359,20.10849,54393.45099,0
1121045008618,14.00,0.05,133.70360,20.10849,54393.45750,0
1121045008618,13.99,0.05,133.70360,20.10849,54393.46405,0
1121045008618,13.99,0.05,133.70361,20.10849,54393.47059,0
1121045008618,13.72,0.05,133.70359,20.10849,54358.50634,0
1121045008618,13.86,0.05,133.70356,20.10852,54358.50795,0
1121045008618,14.94,0.06,133.70364,20.10852,54564.14729,0
1121045008618,14.96,0.06,133.70362,20.10851,54564.15393,0
1121045008618,14.97,0.06,133.70363,20.10852,54564.16056,0
1121045008618,14.96,0.06,133.70363,20.10852,54564.16724,0
1121045008618,15.00,0.06,133.70364,20.10852,54573.18053,0
1121045008618,14.99,0.06,133.70362,20.10852,54573.19028,0
1121045008618,15.00,0.06,133.70360,20.10850,54573.20004,0
1121045008618,14.98,0.06,133.70365,20.10852,54573.20978,0
1121045008618,15.17,0.06,133.70361,20.10850,54581.17226,0
1121045008618,15.18,0.06,133.70362,20.10852,54581.17763,0
1121045008618,15.18,0.06,133.70359,20.10850,54581.18303,0
1121045008618,15.17,0.06,133.70363,20.10852,54581.18842,0
1121045008618,15.06,0.06,133.70362,20.10850,54820.34059,0
1121045008618,15.07,0.06,133.70364,20.10850,54820.34658,0
1121045008618,15.06,0.06,133.70365,20.10850,54820.35261,0
1121045008618,15.03,0.06,133.70362,20.10847,54820.35861,0
1121045008618,14.17,0.05,133.70361,20.10850,54502.19271,0
1121045008618,14.17,0.05,133.70363,20.10851,54502.20082,0
1121045008618,14.16,0.05,133.70362,20.10852,54502.20890,0
1121045008618,14.17,0.05,133.70362,20.10851,54502.21699,0
1121045008618,14.02,0.05,133.70361,20.10849,54495.22076,0
1121045008618,14.04,0.05,133.70361,20.10851,54495.22741,0
1121045008618,14.01,0.05,133.70361,20.10850,54495.23393,0
1121045008618,14.02,0.05,133.70361,20.10850,54495.24046,0
1121045008618,14.84,0.06,133.70368,20.10853,54528.13958,0
1121045008618,14.87,0.06,133.70363,20.10850,54528.14603,0
1121045008618,14.86,0.06,133.70362,20.10851,54528.15249,0
1121045008618,14.87,0.06,133.70364,20.10852,54528.15892,0
1121045008618,15.28,0.06,133.70364,20.10850,54536.12635,0
1121045008618,15.25,0.06,133.70362,20.10848,54536.13301,0
1121045008618,15.26,0.06,133.70361,20.10848,54536.13969,0
1121045008618,15.26,0.06,133.70363,20.10849,54536.14631,0
1121045008618,14.47,0.06,133.70361,20.10851,54592.15678,0
1121045008618,14.47,0.06,133.70362,20.10851,54592.16281,0
1121045008618,14.46,0.06,133.70363,20.10850,54592.16881,0
1121045008618,14.46,0.06,133.70361,20.10852,54592.17482,0
1121045008618,14.57,0.06,133.70364,20.10849,54600.15884,0
1121045008618,14.57,0.06,133.70365,20.10848,54600.16474,0
1121045008618,14.60,0.06,133.70364,20.10847,54600.17068,0
1121045008618,14.55,0.06,133.70366,20.10852,54600.17662,0
1121045008618,14.22,0.05,133.70361,20.10851,54777.43244,0
1121045008618,14.23,0.05,133.70362,20.10851,54777.44485,0
1121045008618,14.24,0.05,133.70361,20.10849,54777.45728,0
1121045008618,14.23,0.05,133.70362,20.10849,54777.46978,0
1121045008618,14.57,0.06,133.70362,20.10850,54791.44442,0
1121045008618,14.58,0.06,133.70363,20.10851,54791.45274,0
1121045008618,14.57,0.06,133.70361,20.10849,54791.46103,0
1121045008618,14.57,0.06,133.70362,20.10849,54791.46931,0
