# time_1               cadence_1   quality_1   x_1                     y_1                      flux_1               error_1              mflags_1   trend_t_1            trend_p_1            time_2               cadence_2   quality_2   x_2                     y_2                      flux_2              error_2              mflags_2   trend_t_2           trend_p_2           
  2340.4659712712382   -21863      0           0.13927921652793884     0.043928761035203934     1394.1041260377474   4.307441711425781    0          1377.0037524720344   1395.1051075740877   2340.4659712712382   -21863      0           0.13927921652793884     0.043928761035203934     838.0769966761903   2.58971905708313     0          870.3672417421859   835.7002258032567   
  2340.486403010451    -21862      0           0.15412764251232147     0.04920772835612297      1381.4722673243878   4.3038835525512695   0          1376.8451253624264   1396.2670533579928   2340.486403010451    -21862      0           0.15412764251232147     0.04920772835612297      831.4522166526061   2.5876212120056152   0          870.1874296218341   828.1229820096927   
  2340.5068345496693   -21861      0           0.1624637246131897      0.054435133934020996     1394.6871685646872   4.304782867431641    0          1376.689293928367    1396.5220704658152   2340.5068345496693   -21861      0           0.1624637246131897      0.054435133934020996     838.7027777557746   2.5881922245025635   0          870.0101382041878   825.176055097608    
  2340.527266188772    -21860      2048        0.1735646277666092      0.05718914791941643      1563.1484485678957   4.328683376312256    9          1376.5363720158898   1397.6838051485215   2340.527266188772    -21860      2048        0.1735646277666092      0.05718914791941643      941.6098093690794   2.6003997325897217   9          869.8357120186597   818.5810229120189   
  2340.547697927759    -21859      0           0.1705561876296997      0.057155776768922806     1391.1801390525636   4.30362606048584     0          1376.3864731336096   1397.2407342492588   2340.547697927759    -21859      0           0.1705561876296997      0.057155776768922806     837.6010634351015   2.5875461101531982   0          869.6645097715356   820.8146209954646   
  2340.568129466854    -21858      0           0.1705998182296753      0.05617864429950714      1394.7564975497005   4.303743362426758    0          1376.2397100889814   1397.4219786405001   2340.568129466854    -21858      0           0.1705998182296753      0.05617864429950714      839.2722892253952   2.5875439643859863   0          869.496901372858    820.1860036038485   
  2340.588561105724    -21857      0           0.17487047612667084     0.058135271072387695     1394.835816945261    4.303284168243408    0          1376.096188367033    1397.7118889747005   2340.588561105724    -21857      0           0.17487047612667084     0.058135271072387695     839.891744462084    2.587430953979492    0          869.3332576303858   818.1786784377568   
  2340.608992844587    -21856      0           0.18007901310920715     0.06135266646742821      1389.571607851618    4.301826000213623    0          1375.9560125795424   1397.9356097933342   2340.608992844587    -21856      0           0.18007901310920715     0.06135266646742821      834.9931992727975   2.5865092277526855   0          869.1739547498452   816.2063141052403   
  2340.6294244833407   -21855      0           0.19393201172351837     0.06860969215631485      1387.3544343025135   4.300748825073242    0          1375.819285452932    1398.8318688674865   2340.6294244833407   -21855      0           0.19393201172351837     0.06860969215631485      833.709603321872    2.585843324661255    0          869.0193701719837   810.0118652394959   
  2340.649856122094    -21854      0           0.19772368669509888     0.06933119893074036      1391.4683908836444   4.301015853881836    0          1375.686104327697    1399.2857857944032   2340.649856122094    -21854      0           0.19772368669509888     0.06933119893074036      836.3478291177568   2.585996627807617    0          868.8698755133479   807.5462053913095   
  2340.6702877607313   -21853      0           0.21209153532981873     0.07369197905063629      1401.0822817214175   4.299985885620117    0          1375.5565638270132   1400.7676219807513   2340.6702877607313   -21853      0           0.21209153532981873     0.07369197905063629      842.6626944828278   2.5855870246887207   0          868.7258364472474   799.0128912993703   
  2340.690719399361    -21852      0           0.2153102159500122      0.07415292412042618      1385.1817847702114   4.298033714294434    0          1375.4307550741073   1401.1719794426758   2340.690719399361    -21852      0           0.2153102159500122      0.07415292412042618      833.2494775696891   2.584364414215088    0          868.5876086071893   796.7661793142858   
  2340.711151037998    -21851      0           0.2216798961162567      0.07768208533525467      1382.689225710626    4.296705722808838    0          1375.3087656191944   1401.624418582174    2340.711151037998    -21851      0           0.2216798961162567      0.07768208533525467      831.0867978616133   2.5837440490722656   0          868.4555342718377   793.8351032795882   
  2340.731582676395    -21850      0           0.22059276700019836     0.07637909054756165      1400.0140243139876   4.29884147644043     0          1375.1906793752967   1401.6374327852102   2340.731582676395    -21850      0           0.22059276700019836     0.07637909054756165      842.7250672309353   2.584916114807129    0          868.3299390577538   793.9269823470063   
  2340.752014314916    -21849      0           0.22906707227230072     0.07796241343021393      1395.5083147694122   4.297599792480469    0          1375.076576558115    1402.6449404594673   2340.752014314916    -21849      0           0.22906707227230072     0.07796241343021393      841.8143068673483   2.5840654373168945   0          868.2111286396614   788.1243998083733   
  2340.7724459532037   -21848      0           0.22834810614585876     0.07954379916191101      1391.4863537928936   4.297075271606445    0          1374.9665336483627   1402.3465244238632   2340.7724459532037   -21848      0           0.22834810614585876     0.07954379916191101      836.9286111343828   2.583789348602295    0          868.0993855428134   789.6430178374055   
  2340.792877591608    -21847      0           0.22940035164356232     0.08128797262907028      1395.848949447992    4.297746658325195    0          1374.8606233480314   1402.2825880925336   2340.792877591608    -21847      0           0.22940035164356232     0.08128797262907028      838.315186093252    2.584162950515747    0          867.9949660027736   789.8203350748261   
  2340.813309129888    -21846      0           0.2372487336397171      0.08374681323766708      1405.3387488447534   4.297891616821289    0          1374.7589150483252   1403.1095848861034   2340.813309129888    -21846      0           0.2372487336397171      0.08374681323766708      844.3407034238462   2.5842349529266357   0          867.8980974050965   784.9765252090965   
  2340.83374086806     -21845      0           0.23187831044197083     0.0815974771976471       1398.0551197822374   4.298068046569824    0          1374.6614723704627   1402.5996654155445   2340.83374086806     -21845      0           0.23187831044197083     0.0815974771976471       841.1126494387885   2.584393262863159    0          867.80897311583     788.028627799827    
  2340.854172506224    -21844      0           0.2391459196805954      0.0841076448559761       1394.8850756036218   4.296182155609131    0          1374.5683580318168   1403.336212604681    2340.854172506224    -21844      0           0.2391459196805954      0.0841076448559761       838.735586514266    2.5831551551818848   0          867.7277543070611   783.6603714471809   
  2340.8746040442784   -21843      0           0.2420293688774109      0.08296676725149155      1393.818052303379    4.296533107757568    0          1374.4796293957004   1403.8683073144775   2340.8746040442784   -21843      0           0.2420293688774109      0.08296676725149155      839.1806656217265   2.583498954772949    0          867.6545631994828   780.6495063965174   
  2340.895035782334    -21842      0           0.24610401690006256     0.0868864431977272       1395.7175364553266   4.295353412628174    0          1374.3953387961512   1404.0036752855167   2340.895035782334    -21842      0           0.24610401690006256     0.0868864431977272       838.4108315673645   2.582793712615967    0          867.5894813104355   779.6414657969578   
  2340.9154674202728   -21841      0           0.23657187819480896     0.08246879279613495      1391.6819268146974   4.296107292175293    0          1374.315537301097    1403.1621772415126   2340.9154674202728   -21841      0           0.23657187819480896     0.08246879279613495      836.6870127464256   2.5834696292877197   0          867.5325502830303   784.776463692177    
  2340.935899158205    -21840      0           0.23492620885372162     0.08164478838443756      1394.4366994130871   4.296868324279785    0          1374.2402701396268   1403.026617117093    2340.935899158205    -21840      0           0.23492620885372162     0.08164478838443756      839.193670576596    2.583739995956421    0          867.4837664365143   785.6156478139914   
