idno,parentID,objID,run,rowc,camcol,htmid,parent_ra,ra,parent_dec,dec,separation,mjd_g,psfMag_g,psfMagErr_g,mjd_r,psfMag_r,psfMagErr_r,flags,calMag_g,calMagErr_g,calMag_r,calMagErr_r,Flux_g,FluxErr_g,Flux_r,FluxErr_r,calFlux_g,calFluxErr_g,calFlux_r,calFluxErr_r,ZSPEC
39,8647475121985880238,8658191404694503454,4917,626.0979,5,17073612140583,16.4313331635,16.4313331635,0.667752682207,0.667752682207,0.0388323499564,53302.2940055,17.94761,0.01383706,53302.2906888,17.58248,0.0135632,STATIONARY MOVED BINNED1 INTERP CHILD,17.968536178,0.01383706,17.6169280209,0.0135632,0.00024042600858,3.06409732298e-06,0.000336537543941,4.20409791886e-06,0.000235836458126,3.00560646166e-06,0.000326027523322,4.07280542099e-06,1.074
39,8647475121985880238,8658191447638278147,4927,254.1335,5,17073612140583,16.4313487797,16.4313487797,0.667733595557,0.667733595557,0.0562473400552,53312.2496272,17.94851,0.02203825,53312.2463103,17.60276,0.01439694,STATIONARY BINNED1,17.9572024438,0.02203825,17.6387863519,0.01439694,0.000240226793939,4.87613631403e-06,0.000330309826001,4.37994724254e-06,0.000238311200673,4.83725378842e-06,0.000319529456421,4.23699928246e-06,1.074
39,8647475121985880238,8658191473408737368,4933,1395.604,5,17073612140583,16.4313479495,16.4313479495,0.667753224589,0.667753224589,0.0591915539499,53314.2505001,17.96681,0.01791232,53314.2471828,17.62123,0.02194245,STATIONARY BINNED1 MANYPETRO,18.0314354425,0.01791232,17.658342587,0.02194245,0.000236211706785,3.89700173715e-06,0.000324738265771,6.56290062443e-06,0.000222562061628,3.67181276624e-06,0.000313825606581,6.34235940508e-06,1.074
39,8647475121985880238,8658194192114253882,5566,1164.941,5,17073612140583,16.4313356371,16.4313356371,0.667740618541,0.667740618541,0.00573579497155,53616.3549297,18.05824,0.02635175,53616.3516127,17.65282,0.03036361,STATIONARY BINNED1,17.9739663641,0.02635175,17.5967204593,0.03036361,0.000217134716102,5.27006988499e-06,0.000315425950334,8.82121002222e-06,0.000234659889063,5.69541909846e-06,0.000332152341123,9.28897720523e-06,1.074
39,8647475121985880238,8658194351042461727,5603,554.7656,5,17073612140581,16.4313171758,16.4313171758,0.667762909227,0.667762909227,0.100104090328,53626.3315416,17.97747,0.01700649,53626.3282245,17.63279,0.01500859,STATIONARY MOVED BINNED1 INTERP CHILD,17.9311735828,0.01700649,17.6214330435,0.01500859,0.000233903866673,3.66378065051e-06,0.000321299056486,4.4414688594e-06,0.000244093400349,3.82338438626e-06,0.000324677541935,4.48817092032e-06,1.074
39,8647475121985880238,8658194381107363846,5610,154.949,5,17073612140581,16.4313406199,16.4313406199,0.667779458716,0.667779458716,0.13524580672,53628.3165283,17.93478,0.01458634,53628.3132113,17.62077,0.01854904,STATIONARY MOVED BINNED1 MANYPETRO CHILD,17.9537778485,0.01458634,17.6358603397,0.01854904,0.000243283953832,3.26841387179e-06,0.000324875879114,5.55029603854e-06,0.000239064063962,3.21172190361e-06,0.000320391739096,5.47368793725e-06,1.074
39,8647475121985880238,8658194432645988362,5622,161.657,5,17073612140581,16.4313292447,16.4313292447,0.667758431879,0.667758431879,0.0629149831206,53635.3249101,17.92233,0.0149638,53635.321593,17.61569,0.01419,INTERP_CENTER STATIONARY MOVED BINNED1 INTERP CHILD,17.915660658,0.0149638,17.6481648688,0.01419,0.000246089726204,3.39166218831e-06,0.000326399492624,4.26588455591e-06,0.000247606037009,3.41256016702e-06,0.000316781258449,4.14017976579e-06,1.074
39,8647475121985880238,8658194479889317936,5633,1111.506,5,17073612140581,16.4313551489,16.4313551489,0.667757684754,0.667757684754,0.0893543992167,53637.3178542,17.98585,0.02964558,53637.3145371,17.66955,0.02376354,STATIONARY BINNED1,17.9662392975,0.02964558,17.6481794632,0.02376354,0.00023210547667,6.33756959259e-06,0.000310602819888,6.79819973988e-06,0.000236335901376,6.45307914749e-06,0.000316777000307,6.93333368541e-06,1.074
39,8647475121985880238,8658194518521741415,5642,1237.725,5,17073612140583,16.4313432986,16.4313432986,0.667740889068,0.667740889068,0.0276107835819,53639.3631922,17.94773,0.01750854,53639.359875,17.61066,0.02385478,STATIONARY MOVED BINNED1 CHILD,17.9572349744,0.01750854,17.6334379083,0.02385478,0.000240399437086,3.87668634169e-06,0.000327915150123,7.20467029907e-06,0.000238304060523,3.84289650634e-06,0.00032110737918,7.0550968651e-06,1.074
39,8647475121985880238,8658194587229880414,5658,1206.112,5,17073612140583,16.4313365522,16.4313365522,0.667750796852,0.667750796852,0.0310557487117,53641.362368,17.97813,0.02679919,53641.3590509,17.60048,0.01825245,STATIONARY BINNED1 INTERP CHILD,17.97813,0.02679919,17.60048,0.01825245,0.000233761723267,5.76995525702e-06,0.00033100419386,5.56457306074e-06,0.000233761723267,5.76995525702e-06,0.00033100419386,5.56457306074e-06,1.074
